App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Total_Runs,First Contentful Paint_Avg_Value,First Contentful Paint_Avg_Score_%,First Contentful Paint_Min_Value,First Contentful Paint_Max_Value,Largest Contentful Paint_Avg_Value,Largest Contentful Paint_Avg_Score_%,Largest Contentful Paint_Min_Value,Largest Contentful Paint_Max_Value,Speed Index_Avg_Value,Speed Index_Avg_Score_%,Speed Index_Min_Value,Speed Index_Max_Value,Interactive_Avg_Value,Interactive_Avg_Score_%,Interactive_Min_Value,Interactive_Max_Value,Total Blocking Time_Avg_Value,Total Blocking Time_Avg_Score_%,Total Blocking Time_Min_Value,Total Blocking Time_Max_Value,Cumulative Layout Shift_Avg_Value,Cumulative Layout Shift_Avg_Score_%,Cumulative Layout Shift_Min_Value,Cumulative Layout Shift_Max_Value
"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about,https://render-strategy-demo-csr-next-app-c.vercel.app/about/,10,0.92,100,0.92,0.93,2.93,80,2.82,3.32,1.33,100,0.92,2.24,2.93,96,2.82,3.32,8.2,100,0,35,0,100,0,0
"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/about,10,2.59,64,2.58,2.63,2.59,88,2.58,2.63,4.44,73,4.38,4.48,2.59,98,2.58,2.63,0,100,0,0,0,100,0.002,0.002
"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,https://render-strategy-demo-csr-sveltekit.vercel.app/about,10,2.51,66,1.68,2.64,3.06,76,2.94,3.16,4.04,79,1.89,4.32,3.06,95,2.94,3.16,0,100,0,0,0.01,99,0,0.101
"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,https://render-strategy-demo-next-app-ssr.vercel.app/about,10,0.98,100,0.92,1.36,2.89,81,2.82,3.03,1.94,97,0.99,4.36,2.89,96,2.82,3.03,10.7,100,6,21,0,100,0,0
"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,https://render-strategy-demo-nuxt-app-ssr.vercel.app/about,10,2.53,66,1.66,2.69,2.54,88,1.81,2.69,3.06,93,3,3.18,2.55,98,1.82,2.69,0,100,0,0,0,100,0,0.002
"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,https://render-strategy-demo-sveltekit-app.vercel.app/about,10,2.52,66,1.65,2.66,3.04,77,2.96,3.26,2.93,94,2.02,3.07,3.04,96,2.96,3.26,0,100,0,0,0.01,99,0,0.101
"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-ssg.vercel.app/about,https://render-strategy-demo-next-app-ssg.vercel.app/about/,10,0.92,100,0.91,0.94,2.86,81,2.73,2.98,1.05,100,0.92,2.21,2.86,97,2.73,2.98,11.4,100,0,36,0,100,0,0
"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,https://render-strategy-demo-nuxt-app-ssg.vercel.app/about,10,2.61,63,2.58,2.66,3.04,77,2.93,3.24,3.02,93,2.82,4.32,3.04,96,2.93,3.24,0,100,0,0,0,100,0,0
"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,https://render-strategy-demo-sveltekit-app-nine.vercel.app/about,10,2.6,63,2.58,2.65,3.09,75,2.93,3.37,3.02,93,2.83,4.28,3.09,95,2.93,3.37,0,100,0,0,0,100,0,0
"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-next-app-isr.vercel.app/about,https://render-strategy-demo-next-app-isr.vercel.app/about,10,0.93,100,0.92,0.93,2.86,82,2.81,2.88,1.58,99,0.92,2.36,2.86,96,2.81,2.88,21.9,100,8,57,0,100,0,0
"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,https://render-strategy-demo-nuxt-app-isr.vercel.app/about,10,2.49,67,1.66,2.6,2.59,88,2.58,2.6,2.73,96,1.66,2.9,2.59,98,2.58,2.6,0,100,0,0,0.01,99,0,0.1
"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"About Page",/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,https://render-strategy-demo-sveltekit-app-rho.vercel.app/about,10,2.58,64,2.58,2.59,3.03,77,2.92,3.23,3.01,93,2.83,4.27,3.03,96,2.92,3.23,0,100,0,0,0,100,0,0
