App_Name,Framework,Strategy,Profile,Page_Name,Page_Path,Tested_URL,Final_URL,Total_Runs,First Contentful Paint_Avg_Value,First Contentful Paint_Avg_Score_%,First Contentful Paint_Min_Value,First Contentful Paint_Max_Value,Largest Contentful Paint_Avg_Value,Largest Contentful Paint_Avg_Score_%,Largest Contentful Paint_Min_Value,Largest Contentful Paint_Max_Value,Speed Index_Avg_Value,Speed Index_Avg_Score_%,Speed Index_Min_Value,Speed Index_Max_Value,Interactive_Avg_Value,Interactive_Avg_Score_%,Interactive_Min_Value,Interactive_Max_Value,Total Blocking Time_Avg_Value,Total Blocking Time_Avg_Score_%,Total Blocking Time_Min_Value,Total Blocking Time_Max_Value,Cumulative Layout Shift_Avg_Value,Cumulative Layout Shift_Avg_Score_%,Cumulative Layout Shift_Min_Value,Cumulative Layout Shift_Max_Value
"Next.js CSR",Next.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-next-app-c.vercel.app/blog/1/,10,0.79,100,0.78,0.79,3.52,63,3.37,3.67,1.24,100,1.09,1.92,3.52,92,3.37,3.67,15,100,6,48,0.3,40,0.299,0.299
"Nuxt.js CSR",Nuxt.js,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog/1,10,2.4,70,1.65,2.6,2.71,85,2.65,3.14,4.2,77,3.16,4.48,2.72,97,2.66,3.14,0,100,0,0,0,100,0.001,0.001
"SvelteKit CSR",SvelteKit,"Client-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,https://render-strategy-demo-csr-sveltekit.vercel.app/blog/1,10,2.49,67,1.65,2.6,2.93,80,2.88,3.39,4.13,78,2.87,4.29,2.93,96,2.88,3.39,0,100,0,0,0,100,0,0.001
"Next.js SSR",Next.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,https://render-strategy-demo-next-app-ssr.vercel.app/blog/1,10,0.93,100,0.92,0.95,2.96,79,2.55,3.12,1.34,100,1.11,2.44,2.96,96,2.57,3.12,11.7,100,0,63,0,100,0,0
"Nuxt.js SSR",Nuxt.js,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog/1,10,2.67,61,1.82,2.82,2.77,84,2.74,2.82,3.1,92,1.82,3.55,2.77,97,2.74,2.82,0,100,0,0,0,100,0,0.001
"SvelteKit SSR",SvelteKit,"Server-Side Rendering",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app.vercel.app/blog/1,10,2.6,64,2.58,2.64,3.06,76,2.98,3.24,3.25,91,3.19,3.33,3.06,95,2.98,3.24,0,100,0,0,0,100,0,0
"Next.js SSG",Next.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1,https://render-strategy-demo-next-app-ssg.vercel.app/blog/1/,10,0.94,100,0.91,1.09,3.04,77,2.87,3.29,1.18,100,0.91,2.85,3.04,96,2.87,3.29,1.8,100,0,10,0,100,0,0
"Nuxt.js SSG",Nuxt.js,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog/1,10,2.66,61,1.82,2.76,3.19,73,3.15,3.23,3.06,93,2.81,3.11,3.19,94,3.15,3.23,0,100,0,0,0,100,0,0.001
"SvelteKit SSG",SvelteKit,"Static Site Generation",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog/1,10,2.59,64,2.58,2.63,3.01,77,2.98,3.06,3.01,94,2.85,3.09,3.01,96,2.98,3.06,0,100,0,0,0,100,0,0.001
"Next.js ISR",Next.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,https://render-strategy-demo-next-app-isr.vercel.app/blog/1,10,0.98,100,0.92,1.11,2.87,80,1.94,3.41,1.95,97,0.99,4.09,2.87,96,1.99,3.41,24.9,100,0,68,0,100,0,0
"Nuxt.js ISR",Nuxt.js,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog/1,10,2.76,58,2.74,2.77,2.76,84,2.74,2.77,3.13,92,2.92,4.35,2.76,97,2.74,2.77,0,100,0,0,0,100,0,0.001
"SvelteKit ISR",SvelteKit,"Incremental Static Regeneration",SLOW4G,"Blog Post",/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog/1,10,2.41,70,1.65,2.63,3.25,71,2.97,4.15,2.93,94,1.67,3.48,3.25,94,2.97,4.15,0,100,0,0,0,100,0,0.001
