Next.js CSR,Nuxt.js CSR,SvelteKit CSR,Next.js SSR,Nuxt.js SSR,SvelteKit SSR,Next.js SSG,Nuxt.js SSG,SvelteKit SSG,Next.js ISR,Nuxt.js ISR,SvelteKit ISR
https://render-strategy-demo-csr-next-app-c.vercel.app/blog/,https://render-strategy-demo-csr-nuxt-app-c.vercel.app/blog,https://render-strategy-demo-csr-sveltekit.vercel.app/blog,https://render-strategy-demo-next-app-ssr.vercel.app/blog,https://render-strategy-demo-nuxt-app-ssr.vercel.app/blog,https://render-strategy-demo-sveltekit-app.vercel.app/blog,https://render-strategy-demo-next-app-ssg.vercel.app/blog/,https://render-strategy-demo-nuxt-app-ssg.vercel.app/blog,https://render-strategy-demo-sveltekit-app-nine.vercel.app/blog,https://render-strategy-demo-next-app-isr.vercel.app/blog,https://render-strategy-demo-nuxt-app-isr.vercel.app/blog,https://render-strategy-demo-sveltekit-app-rho.vercel.app/blog
1592.9,1960,882.9,1380.9,1779.3,751.8,1334.1,1162.2,698.7,1400.3,1857.5,432.5
1350.6,2232,774.7,1331.5,1853.5,621.1,1217.5,1712.4,603.8,1332.6,1853.9,403
1333.7,1988.4,774.6,1364,1788.5,668.5,1105.4,1662.1,624.1,1246.9,1806.3,420.4
1402.3,2086.3,747,1255.9,1703.6,692.3,1324.6,1671,596.6,1353.1,1827.4,411.3
1423.5,1884,759.1,1260.1,1845.8,631.7,1332.6,1676.3,757.1,1322.9,1946.1,416.9
1436.2,1772.8,735.9,1223.8,1728.8,675,1264.1,1709.6,664.4,1246.6,1751.3,392.9
1327.1,2113.1,848.7,1352.2,1737.4,715.4,1373.2,1692.6,722.6,1363.5,1873.4,418.7
1467.4,1855.1,848.6,1305.6,1774.3,659.3,1360.4,1660.6,649.6,1321.7,1760.3,363.8
1403,2199.7,750.1,1261,1759.8,707.7,1268.6,1786.1,764.6,1314,1792.2,401.5
1439.3,1916.8,826.4,1317.9,1733.2,710.3,1363.4,1857,671.9,1337.5,1919.8,413.3
