Framework,Strategy,CLS,FCP,LCP,SI,TBT,TTI
Next.js,Client-Side Rendering,100.0,100.0,65.0,98.0,100.0,92.0
Next.js,Incremental Static Regeneration,100.0,100.0,85.0,99.0,100.0,97.0
Next.js,Server-Side Rendering,100.0,100.0,72.0,100.0,100.0,93.0
Next.js,Static Site Generation,100.0,100.0,85.0,99.0,100.0,97.0
Nuxt.js,Client-Side Rendering,100.0,67.0,86.0,75.0,99.0,97.0
Nuxt.js,Incremental Static Regeneration,100.0,58.0,84.0,80.0,100.0,97.0
Nuxt.js,Server-Side Rendering,100.0,88.0,83.0,98.0,100.0,97.0
Nuxt.js,Static Site Generation,100.0,58.0,76.0,87.0,100.0,95.0
SvelteKit,Client-Side Rendering,100.0,63.0,84.0,76.0,100.0,97.0
SvelteKit,Incremental Static Regeneration,100.0,64.0,82.0,88.0,100.0,97.0
SvelteKit,Server-Side Rendering,100.0,63.0,74.0,82.0,100.0,94.0
SvelteKit,Static Site Generation,100.0,63.0,82.0,91.0,100.0,97.0
