Page_Type,App_Name,Framework,Strategy,Total_Runs,Metric,Value,Score
blogPost,Next.js CSR,Next.js,Client-Side Rendering,10,FCP,0.79,100
blogPost,Next.js CSR,Next.js,Client-Side Rendering,10,LCP,3.52,63
blogPost,Next.js CSR,Next.js,Client-Side Rendering,10,SI,1.24,100
blogPost,Next.js CSR,Next.js,Client-Side Rendering,10,TTI,3.52,92
blogPost,Next.js CSR,Next.js,Client-Side Rendering,10,TBT,15.0,100
blogPost,Next.js CSR,Next.js,Client-Side Rendering,10,CLS,0.3,40
blogPost,Nuxt.js CSR,Nuxt.js,Client-Side Rendering,10,FCP,2.4,70
blogPost,Nuxt.js CSR,Nuxt.js,Client-Side Rendering,10,LCP,2.71,85
blogPost,Nuxt.js CSR,Nuxt.js,Client-Side Rendering,10,SI,4.2,77
blogPost,Nuxt.js CSR,Nuxt.js,Client-Side Rendering,10,TTI,2.72,97
blogPost,Nuxt.js CSR,Nuxt.js,Client-Side Rendering,10,TBT,0.0,100
blogPost,Nuxt.js CSR,Nuxt.js,Client-Side Rendering,10,CLS,0.0,100
blogPost,SvelteKit CSR,SvelteKit,Client-Side Rendering,10,FCP,2.49,67
blogPost,SvelteKit CSR,SvelteKit,Client-Side Rendering,10,LCP,2.93,80
blogPost,SvelteKit CSR,SvelteKit,Client-Side Rendering,10,SI,4.13,78
blogPost,SvelteKit CSR,SvelteKit,Client-Side Rendering,10,TTI,2.93,96
blogPost,SvelteKit CSR,SvelteKit,Client-Side Rendering,10,TBT,0.0,100
blogPost,SvelteKit CSR,SvelteKit,Client-Side Rendering,10,CLS,0.0,100
blogPost,Next.js SSR,Next.js,Server-Side Rendering,10,FCP,0.93,100
blogPost,Next.js SSR,Next.js,Server-Side Rendering,10,LCP,2.96,79
blogPost,Next.js SSR,Next.js,Server-Side Rendering,10,SI,1.34,100
blogPost,Next.js SSR,Next.js,Server-Side Rendering,10,TTI,2.96,96
blogPost,Next.js SSR,Next.js,Server-Side Rendering,10,TBT,11.7,100
blogPost,Next.js SSR,Next.js,Server-Side Rendering,10,CLS,0.0,100
blogPost,Nuxt.js SSR,Nuxt.js,Server-Side Rendering,10,FCP,2.67,61
blogPost,Nuxt.js SSR,Nuxt.js,Server-Side Rendering,10,LCP,2.77,84
blogPost,Nuxt.js SSR,Nuxt.js,Server-Side Rendering,10,SI,3.1,92
blogPost,Nuxt.js SSR,Nuxt.js,Server-Side Rendering,10,TTI,2.77,97
blogPost,Nuxt.js SSR,Nuxt.js,Server-Side Rendering,10,TBT,0.0,100
blogPost,Nuxt.js SSR,Nuxt.js,Server-Side Rendering,10,CLS,0.0,100
blogPost,SvelteKit SSR,SvelteKit,Server-Side Rendering,10,FCP,2.6,64
blogPost,SvelteKit SSR,SvelteKit,Server-Side Rendering,10,LCP,3.06,76
blogPost,SvelteKit SSR,SvelteKit,Server-Side Rendering,10,SI,3.25,91
blogPost,SvelteKit SSR,SvelteKit,Server-Side Rendering,10,TTI,3.06,95
blogPost,SvelteKit SSR,SvelteKit,Server-Side Rendering,10,TBT,0.0,100
blogPost,SvelteKit SSR,SvelteKit,Server-Side Rendering,10,CLS,0.0,100
blogPost,Next.js SSG,Next.js,Static Site Generation,10,FCP,0.94,100
blogPost,Next.js SSG,Next.js,Static Site Generation,10,LCP,3.04,77
blogPost,Next.js SSG,Next.js,Static Site Generation,10,SI,1.18,100
blogPost,Next.js SSG,Next.js,Static Site Generation,10,TTI,3.04,96
blogPost,Next.js SSG,Next.js,Static Site Generation,10,TBT,1.8,100
blogPost,Next.js SSG,Next.js,Static Site Generation,10,CLS,0.0,100
blogPost,Nuxt.js SSG,Nuxt.js,Static Site Generation,10,FCP,2.66,61
blogPost,Nuxt.js SSG,Nuxt.js,Static Site Generation,10,LCP,3.19,73
blogPost,Nuxt.js SSG,Nuxt.js,Static Site Generation,10,SI,3.06,93
blogPost,Nuxt.js SSG,Nuxt.js,Static Site Generation,10,TTI,3.19,94
blogPost,Nuxt.js SSG,Nuxt.js,Static Site Generation,10,TBT,0.0,100
blogPost,Nuxt.js SSG,Nuxt.js,Static Site Generation,10,CLS,0.0,100
blogPost,SvelteKit SSG,SvelteKit,Static Site Generation,10,FCP,2.59,64
blogPost,SvelteKit SSG,SvelteKit,Static Site Generation,10,LCP,3.01,77
blogPost,SvelteKit SSG,SvelteKit,Static Site Generation,10,SI,3.01,94
blogPost,SvelteKit SSG,SvelteKit,Static Site Generation,10,TTI,3.01,96
blogPost,SvelteKit SSG,SvelteKit,Static Site Generation,10,TBT,0.0,100
blogPost,SvelteKit SSG,SvelteKit,Static Site Generation,10,CLS,0.0,100
blogPost,Next.js ISR,Next.js,Incremental Static Regeneration,10,FCP,0.98,100
blogPost,Next.js ISR,Next.js,Incremental Static Regeneration,10,LCP,2.87,80
blogPost,Next.js ISR,Next.js,Incremental Static Regeneration,10,SI,1.95,97
blogPost,Next.js ISR,Next.js,Incremental Static Regeneration,10,TTI,2.87,96
blogPost,Next.js ISR,Next.js,Incremental Static Regeneration,10,TBT,24.9,100
blogPost,Next.js ISR,Next.js,Incremental Static Regeneration,10,CLS,0.0,100
blogPost,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,FCP,2.76,58
blogPost,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,LCP,2.76,84
blogPost,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,SI,3.13,92
blogPost,Nuxt.js ISR,Nuxt.js,Incremental Static Regeneration,10,TTI,2.76,97
