Framework,Strategy,CLS,FCP,LCP,SI,TBT,TTI
Next.js,Client-Side Rendering,40.0,100.0,63.0,100.0,100.0,92.0
Next.js,Incremental Static Regeneration,100.0,100.0,80.0,97.0,100.0,96.0
Next.js,Server-Side Rendering,100.0,100.0,79.0,100.0,100.0,96.0
Next.js,Static Site Generation,100.0,100.0,77.0,100.0,100.0,96.0
Nuxt.js,Client-Side Rendering,100.0,70.0,85.0,77.0,100.0,97.0
Nuxt.js,Incremental Static Regeneration,100.0,58.0,84.0,92.0,100.0,97.0
Nuxt.js,Server-Side Rendering,100.0,61.0,84.0,92.0,100.0,97.0
Nuxt.js,Static Site Generation,100.0,61.0,73.0,93.0,100.0,94.0
SvelteKit,Client-Side Rendering,100.0,67.0,80.0,78.0,100.0,96.0
SvelteKit,Incremental Static Regeneration,100.0,70.0,71.0,94.0,100.0,94.0
SvelteKit,Server-Side Rendering,100.0,64.0,76.0,91.0,100.0,95.0
SvelteKit,Static Site Generation,100.0,64.0,77.0,94.0,100.0,96.0
